origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan,result
SO359036,0.029254500000000003,0.00998,106.67632749999999,-6.016752200000001,TELUKNAGA,25
SO358991,0.04156225,0.013746,106.68014209999998,-6.0907032,KOSAMBI,25
SO358982,0.025688,0.006384,106.71935659999998,-6.1070863,KALI DERES,25
SO360963,0.058469625,0.0338,106.6752978,-6.1608418,BATUCEPER,26
SO360919,0.06837788,0.04324,106.66607420000001,-6.1525894,BENDA,26
SO360890,0.179816,0.025254,106.66620990000001,-6.1368315,BENDA,26
SO360864,0.13401625,0.049136000000000006,106.65411110000001,-6.152612599999999,BATUCEPER,26
SO360402,0.04970675,0.0101,106.65243159999999,-6.1527842,BATUCEPER,26
SO359759,0.061799295,0.030281,106.64774070000001,-6.173803599999999,TANGERANG,26
SO359600,0.11549942,0.061045,106.67116499999999,-6.179317,BATUCEPER,26
SO359560,0.025688,0.0008710000000000001,106.6523453,-6.1717547,TANGERANG,26
SO359380,0.2532685,0.096512,106.6666527,-6.161950599999999,BATUCEPER,26
SO359191,0.11544000000000001,0.039779,106.65571940000001,-6.170428599999999,TANGERANG,26
SO359108,0.43,0.1,106.67234199999999,-6.164256,BATUCEPER,26
SO361054,0.025688,0.00165,106.6807605,-6.1511441,BENDA,27
SO361021,0.93658075,0.1888,106.6856142,-6.1812364,CIPONDOH,27
SO360880,0.04446015,0.034,106.6804976,-6.1504433,BENDA,27
SO360635,0.05052892,0.018936,106.702367,-6.177693799999999,CENGKARENG,27
SO360004,0.109020755,0.0302808,106.689978,-6.132711799999999,BENDA,27
SO359429,0.06725025,0.015425,106.6964433,-6.1685182,KALI DERES,27
SO359406,0.72464236,0.23504029999999998,106.69593259999999,-6.169279,KALI DERES,27
SO359404,0.025688,0.010367,106.68382509999999,-6.1340484,BENDA,27
SO359348,0.13681117,0.0866078,106.69593259999999,-6.169279,KALI DERES,27
SO359045,0.187503,0.045049,106.69594040000001,-6.169188,KALI DERES,27
SO359038,0.05198869999999999,0.013585000000000002,106.68018899999998,-6.1501093000000004,BENDA,27
SO358890,0.038107999999999996,0.011514,106.70751240000001,-6.1556724,KALI DERES,27
SO361050,0.199568,0.021240000000000002,106.7894057,-6.1614489,GROGOL PETAMBURAN,28
SO360982,0.15523979999999998,0.051039,106.79979499999999,-6.165630999999999,GROGOL PETAMBURAN,28
SO360092,0.19155999999999998,0.027999999999999997,106.7650321,-6.1641469,KEBON JERUK,28
SO359934,0.19166225,0.031351,106.79223429999999,-6.1618304,GROGOL PETAMBURAN,28
SO359093,0.17733446,0.12322999999999999,106.76802930000001,-6.1563707,CENGKARENG,28
SO359040,0.14636035,0.043439,106.7916767,-6.149485299999999,GROGOL PETAMBURAN,28
SO359039,0.3863116,0.037948,106.7799855,-6.16937,GROGOL PETAMBURAN,28
SO360720,1.771285113,0.4812893,106.838652,-6.1636582,KEMAYORAN,29
SO361105,0.26003200000000004,0.0289615,106.750359,-6.166054,KEMBANGAN,30
SO361018,0.043075999999999996,0.006181,106.726694,-6.1506724,CENGKARENG,30
SO360810,0.11589456,0.039327,106.71916090000002,-6.173139900000001,CENGKARENG,30
SO360790,0.908287568,0.16260400000000005,106.7247352,-6.153436,CENGKARENG,30
SO360569,0.058901,0.008234,106.718043,-6.1499995,KALI DERES,30
SO360386,0.16016523,0.032884000000000004,106.73212050000001,-6.153472900000001,CENGKARENG,30
